Status Id;Control Sense Id;Id status main;Id status type;Id status detail;Id equipment;Equipo;Id employee;Inicio de estado;Duración HR numérico;Fin de estado;Date cube;Duración Hr.;Hour;Id type status;Id detail status;Main status;Type status;Detail status
390334;390334;5;17;2409;86;Acarreo en Mina;139;2025-01-14 00:28:07.522769;1.54;2025-01-14 02:00:20.872002;2025-01-13;1.53704145361111;0;17;2409;OUTOFPLAN;Programado;Fuera de plan
390348;390348;5;17;2409;89;Acarreo en Mina;128;2025-01-14 02:00:33.316517;0.17;2025-01-14 02:10:51.756696;2025-01-13;0.171788938611111;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
390355;390355;5;17;2409;89;Acarreo en Mina;128;2025-01-14 03:03:47.935728;0.02;2025-01-14 03:05:06;2025-01-13;0.02168452;3;17;2409;OUTOFPLAN;Programado;Fuera de plan
390370;390370;5;17;2409;89;Acarreo en Mina;128;2025-01-14 03:53:29.404571;0.20;2025-01-14 04:05:25;2025-01-13;0.198776508055556;3;17;2409;OUTOFPLAN;Programado;Fuera de plan
390388;390388;5;17;2409;88;Acarreo en Mina;137;2025-01-14 05:14:03.238286;2.86;2025-01-14 08:05:33.32093;2025-01-13;2.85835629;5;17;2409;OUTOFPLAN;Programado;Fuera de plan
390655;390655;5;17;2409;87;Acarreo en Mina;140;2025-01-14 21:46:01.176027;3.39;2025-01-15 01:09:08.268629;2025-01-14;3.38530350055556;21;17;2409;OUTOFPLAN;Programado;Fuera de plan
390710;390710;5;17;2409;85;Acarreo en Mina;138;2025-01-15 02:05:17.504573;0.34;2025-01-15 02:25:35;2025-01-14;0.338193174166667;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
390717;390717;5;17;2409;86;Acarreo en Mina;139;2025-01-15 02:51:25.711619;0.13;2025-01-15 02:58:55.964023;2025-01-14;0.125070112222222;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
390720;390720;5;17;2409;85;Acarreo en Mina;138;2025-01-15 02:58:51.56457;0.16;2025-01-15 03:08:33.672476;2025-01-14;0.161696640555556;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
391012;391012;5;17;2409;88;Acarreo en Mina;128;2025-01-15 20:00:14.195607;7.09;2025-01-16 03:05:56.055251;2025-01-15;7.09496101222222;20;17;2409;OUTOFPLAN;Programado;Fuera de plan
391018;391018;5;17;2409;89;Acarreo en Mina;137;2025-01-15 20:21:20.710402;0.31;2025-01-15 20:39:50.742601;2025-01-15;0.3083422775;20;17;2409;OUTOFPLAN;Programado;Fuera de plan
391035;391035;5;17;2409;89;Acarreo en Mina;137;2025-01-15 22:06:43.411325;1.58;2025-01-15 23:41:43.3115;2025-01-15;1.58330560416667;22;17;2409;OUTOFPLAN;Programado;Fuera de plan
391050;391050;5;17;2409;87;Acarreo en Mina;140;2025-01-15 23:41:39.417203;1.94;2025-01-16 01:37:54.143429;2025-01-15;1.93742395166667;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
391071;391071;5;17;2409;89;Acarreo en Mina;137;2025-01-16 01:04:39.859063;0.55;2025-01-16 01:37:45.849614;2025-01-15;0.551664041944445;1;17;2409;OUTOFPLAN;Programado;Fuera de plan
391073;391073;5;17;2409;85;Acarreo en Mina;138;2025-01-16 01:05:03.32896;1.10;2025-01-16 02:10:53.325172;2025-01-15;1.09722117;1;17;2409;OUTOFPLAN;Programado;Fuera de plan
391074;391074;5;17;2409;86;Acarreo en Mina;139;2025-01-16 01:05:13.466542;0.85;2025-01-16 01:56:13.322694;2025-01-15;0.849960042222222;1;17;2409;OUTOFPLAN;Programado;Fuera de plan
391084;391084;5;17;2409;86;Acarreo en Mina;139;2025-01-16 01:57:34.338639;1.18;2025-01-16 03:08:15.604019;2025-01-15;1.17812927222222;1;17;2409;OUTOFPLAN;Programado;Fuera de plan
391096;391096;5;17;2409;88;Acarreo en Mina;128;2025-01-16 04:04:28.666922;1.89;2025-01-16 05:57:56.177;2025-01-15;1.89097502166667;4;17;2409;OUTOFPLAN;Programado;Fuera de plan
391106;391106;5;17;2409;89;Acarreo en Mina;137;2025-01-16 04:34:43.33433;4.06;2025-01-16 08:38:35.5524;2025-01-15;4.06450501944444;4;17;2409;OUTOFPLAN;Programado;Fuera de plan
391107;391107;5;17;2409;87;Acarreo en Mina;140;2025-01-16 04:34:48.621932;1.09;2025-01-16 05:40:05.420403;2025-01-15;1.08799957527778;4;17;2409;OUTOFPLAN;Programado;Fuera de plan
391108;391108;5;17;2409;86;Acarreo en Mina;139;2025-01-16 04:38:51.659003;0.99;2025-01-16 05:38:08.811729;2025-01-15;0.988097979444444;4;17;2409;OUTOFPLAN;Programado;Fuera de plan
391223;391223;5;17;2409;88;Acarreo en Mina;136;2025-01-16 11:15:23.689204;1.81;2025-01-16 13:04:17.003;2025-01-16;1.81480938777778;11;17;2409;OUTOFPLAN;Programado;Fuera de plan
391299;391299;5;17;2409;87;Acarreo en Mina;145;2025-01-16 15:56:28.866352;2.45;2025-01-16 18:23:21.489;2025-01-16;2.44795073555556;15;17;2409;OUTOFPLAN;Programado;Fuera de plan
391346;391346;5;17;2409;89;Acarreo en Mina;158;2025-01-16 18:25:18.500699;1.29;2025-01-16 19:42:54.661;2025-01-16;1.29337786138889;18;17;2409;OUTOFPLAN;Programado;Fuera de plan
391384;391384;5;17;2409;87;Acarreo en Mina;140;2025-01-16 19:27:29.763287;0.93;2025-01-16 20:23:25.52512;2025-01-16;0.932156064722222;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
391399;391399;5;17;2409;89;Acarreo en Mina;137;2025-01-16 20:35:44.051149;0.95;2025-01-16 21:32:35.283649;2025-01-16;0.947564583333333;20;17;2409;OUTOFPLAN;Programado;Fuera de plan
391400;391400;5;17;2409;87;Acarreo en Mina;140;2025-01-16 20:36:38.385462;3.73;2025-01-17 00:20:25.13152;2025-01-16;3.72965168277778;20;17;2409;OUTOFPLAN;Programado;Fuera de plan
391408;391408;5;17;2409;86;Acarreo en Mina;139;2025-01-16 21:02:14.472688;0.50;2025-01-16 21:32:18.947641;2025-01-16;0.5012430425;21;17;2409;OUTOFPLAN;Programado;Fuera de plan
391409;391409;5;17;2409;88;Acarreo en Mina;138;2025-01-16 21:11:38.062054;0.35;2025-01-16 21:32:31.905801;2025-01-16;0.348289929722222;21;17;2409;OUTOFPLAN;Programado;Fuera de plan
391422;391422;5;17;2409;86;Acarreo en Mina;139;2025-01-16 22:08:06.469148;2.11;2025-01-17 00:14:44.544768;2025-01-16;2.11057656111111;22;17;2409;OUTOFPLAN;Programado;Fuera de plan
391423;391423;5;17;2409;88;Acarreo en Mina;138;2025-01-16 22:08:11.951971;2.04;2025-01-17 00:10:53.211;2025-01-16;2.04479417472222;22;17;2409;OUTOFPLAN;Programado;Fuera de plan
391424;391424;5;17;2409;89;Acarreo en Mina;137;2025-01-16 22:08:43.66323;2.10;2025-01-17 00:14:40.481032;2025-01-16;2.09911605611111;22;17;2409;OUTOFPLAN;Programado;Fuera de plan
391577;391577;5;17;2409;88;Acarreo en Mina;136;2025-01-17 08:17:37.13206;2.41;2025-01-17 10:42:02.819;2025-01-17;2.40713526111111;8;17;2409;OUTOFPLAN;Programado;Fuera de plan
391634;391634;5;17;2409;86;Acarreo en Mina;142;2025-01-17 11:27:25.152113;3.02;2025-01-17 14:28:41.802;2025-01-17;3.02129163527778;11;17;2409;OUTOFPLAN;Programado;Fuera de plan
391676;391676;5;17;2409;87;Acarreo en Mina;143;2025-01-17 15:11:28.027531;0.96;2025-01-17 16:09:19.708332;2025-01-17;0.964355778055556;15;17;2409;OUTOFPLAN;Programado;Fuera de plan
391757;391757;5;17;2409;85;Acarreo en Mina;158;2025-01-17 20:35:21.365696;6.41;2025-01-18 03:00:03.130307;2025-01-17;6.41160128083333;20;17;2409;OUTOFPLAN;Programado;Fuera de plan
391809;391809;5;17;2409;89;Acarreo en Mina;137;2025-01-18 02:36:52.97533;0.40;2025-01-18 03:00:43.562071;2025-01-17;0.397385205833333;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
391810;391810;5;17;2409;88;Acarreo en Mina;138;2025-01-18 02:36:57.90463;0.96;2025-01-18 03:34:49.698532;2025-01-17;0.964387195;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
391813;391813;5;17;2409;86;Acarreo en Mina;139;2025-01-18 02:38:33.668625;0.36;2025-01-18 03:00:25.070996;2025-01-17;0.364278436388889;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
391834;391834;5;17;2409;89;Acarreo en Mina;137;2025-01-18 03:30:15.714169;0.89;2025-01-18 04:23:44.627;2025-01-17;0.891364675277778;3;17;2409;OUTOFPLAN;Programado;Fuera de plan
